,correlations,importance
PKDMainClassName_Manufacture of plastic packing goods,0.001345911777692766,0.0
PKDMainClassName_Manufacture of plastic plates,0.0018094375196092416,4.241185326255053e-05
PKDMainClassName_Manufacture of plastics in primary forms,0.0020936852085141813,0.0
PKDMainClassName_Manufacture of power-driven hand tools,0.00215533228254734,0.0
PKDMainClassName_Manufacture of prepared feeds for farm animals,0.005632779302286341,0.0
PKDMainClassName_Manufacture of prepared meals and dishes,-0.0046451951259071905,0.004545052001385602
PKDMainClassName_Manufacture of prepared pet foods,-0.0036603013969605147,0.0
PKDMainClassName_Manufacture of pulp,-0.000503204668778838,0.0
PKDMainClassName_Manufacture of railway locomotives and rolling stock,-0.001135427987225604,0.0
PKDMainClassName_Manufacture of ready-mixed concrete,0.00344066323027144,0.0
PKDMainClassName_Manufacture of refractory products,0.001816508126373007,0.0
PKDMainClassName_Manufacture of rubber tyres and tubes,-0.0019437680973693058,9.02553057138279e-05
PKDMainClassName_Manufacture of rusks and biscuits,-0.000481714551405016,0.0012851787824898384
PKDMainClassName_Manufacture of soap and detergents,0.0014975938654046416,0.0
PKDMainClassName_Manufacture of sports goods,-0.00042386829415229875,0.0
PKDMainClassName_Manufacture of starches and starch products,-0.002128120522368517,0.0
PKDMainClassName_Manufacture of steam generators,-0.0002528343972560185,0.0
PKDMainClassName_Manufacture of sugar,-0.002121066695567692,0.0
PKDMainClassName_Manufacture of tools,0.004268781021442416,0.0
PKDMainClassName_Manufacture of tubes and pipes,0.002707347222188279,0.0
PKDMainClassName_Manufacture of underwear,2.4143831444811603e-05,0.0
PKDMainClassName_Manufacture of veneer sheets and wood-based panels,-0.0028040408685434262,0.002683881448039863
PKDMainClassName_Manufacture of wallpaper,0.0010606696241379735,0.0
PKDMainClassName_Manufacture of watches and clocks,0.0023547602699506578,0.0
PKDMainClassName_Manufacture of wire,0.004078578637061491,0.0
PKDMainClassName_Manufacture of wire products,-0.001315387622481322,0.0
PKDMainClassName_Manufacture of wooden containers,-0.002338415954357994,0.0
PKDMainClassName_Manufacture of wool woven fabrics,0.0001049796009506002,0.0
PKDMainClassName_Manufacture of workwear,0.0012739289256059683,0.0
PKDMainClassName_Manufacture of yarn from other textile fibres,-0.00051589838441522,0.0
PKDMainClassName_Market research and public opinion polling,0.0069318222901059824,0.0003052191678356214
PKDMainClassName_Mechanical working of metal elements,0.005168103742182047,0.006824942276207435
PKDMainClassName_Media representation,-0.002364378933656163,0.008724826685611985
PKDMainClassName_Mobile eating places,-0.03803613229565785,0.09995011717168335
PKDMainClassName_Motion picture,0.013327108797890523,0.011856952180644968
PKDMainClassName_Motion picture projection activities,0.0016936032304934953,0.00013037784366609794
PKDMainClassName_Museums activities,0.0015609038434304422,0.0
PKDMainClassName_News agency activities,0.0028016843186314346,6.998060971582342e-05
PKDMainClassName_Non-specialised wholesale of food,-0.0015953462844683997,0.00034424101049718343
PKDMainClassName_Non-specialised wholesale trade,0.012730888260066452,0.007171502164870631
PKDMainClassName_Office administrative service activities,0.001012358039057561,0.0034710040887019366
PKDMainClassName_Operation of dairies and cheese making,0.006557188014217904,0.0
PKDMainClassName_Operation of fitness facilities,-0.0040198871549835995,0.0012492048393218217
PKDMainClassName_Operation of historical sites and buildings and similar visitor attractions,0.00461104963722979,0.005530068757189216
PKDMainClassName_Operation of sports facilities,-0.0010555751832082153,0.0019091823300248583
PKDMainClassName_Organisation of conventions and trade shows,0.002805001074976533,0.000225967771534706
PKDMainClassName_Other activities auxiliary to financial services,-0.02231394447862068,0.004691597290638527
PKDMainClassName_Other activities auxiliary to insurance and pension funding,-0.013963926085797386,0.004434921576089048
PKDMainClassName_Other amusement and recreation activities,-0.00986334897586074,0.001544268101108583
PKDMainClassName_Other building completion and finishing,-0.02979371961844706,0.00730643168423549
PKDMainClassName_Other business support service activities not elsewhere classified,0.0002511748486060972,0.004505147503950338
PKDMainClassName_Other cleaning activities,-0.006310785582981383,0.012119854753130908
PKDMainClassName_Other construction installation,-0.0026523796824786086,0.009472766024783101
PKDMainClassName_Other credit granting,-0.012624290237328592,0.00991301153938514
PKDMainClassName_Other education n,0.014260097943760182,0.007068329494663105
PKDMainClassName_Other financial service activities,-0.004671974508537431,0.0033985314518557228
PKDMainClassName_Other food service activities,-0.00920582949743203,0.019237949866165817
PKDMainClassName_Other human health activities notelsewhere classified,0.0711228791590017,3.5478495008077573
PKDMainClassName_Other information service activities not elsewhere classified,-0.0013779289497957844,0.00011941264866511267
PKDMainClassName_Other manufacturing notelsewhere classified,-0.006309817130479715,0.0034576346037905967
PKDMainClassName_Other monetary intermediation,-0.007541731403465734,0.004108289562669577
PKDMainClassName_Other non-ferrous metal production,0.002062189135672388,0.0
PKDMainClassName_Other passenger land transport not elsewhere classified,0.009165884431840084,0.003977686861744626
PKDMainClassName_Other personal and property insurance,-0.0057102371721886504,0.0002306492283090623
PKDMainClassName_Other printing,0.001662420216731001,8.217131239546956e-05
PKDMainClassName_Other processing and preserving of fruit and vegetables,0.0018060823212283253,2.2000320044565494e-09
PKDMainClassName_Other publishing activities,-0.001809257418837592,9.362243569281016e-06
PKDMainClassName_Other research and experimental development on natural sciences and engineering,0.009270231833235408,6.892507027776381e-05
PKDMainClassName_Other reservation service activities not elsewhere classified,0.006362970424247365,0.00013227044346685472
PKDMainClassName_Other retail sale in non-specialised stores,-0.03677732238498854,0.08144550095083157
PKDMainClassName_Other retail sale not in stores,-0.02842939640661518,0.017029132896740153
PKDMainClassName_Other retail sale of food in specialised stores,-0.009041839240369772,0.004994143192207384
PKDMainClassName_Other retail sale of new goods in specialised stores,-0.0018472443951355454,0.006363949146796054
PKDMainClassName_Other social work activities without accommodation notelsewhere classified,-0.0021776144803101,0.0034548204137735032
PKDMainClassName_Other software publishing,0.005314667066539804,0.0001757249578055425
PKDMainClassName_Other specialised construction activities not elsewhere classified,-0.01466389499493346,0.01853861398789758
PKDMainClassName_Other sports activities,0.003547029575581981,0.0006753761690503035
PKDMainClassName_Other technical testing and analysis,0.013475660087249576,0.0024848114764057898
PKDMainClassName_Other transportation support activities ,0.004625451490186047,0.002926056237440077
PKDMainClassName_Packaging activities,-0.005727075333290661,0.0032590144372424243
PKDMainClassName_Painting and glazing,-0.023956012525934545,0.006466805896628549
PKDMainClassName_Passenger air transport,0.0060366599823161666,0.0
PKDMainClassName_Passenger rail transport,0.0032932806304632315,0.0
PKDMainClassName_Pension funding,-0.0018674879181639079,0.0
PKDMainClassName_Photocopying,-0.005933743190151199,0.0019567497471135752
PKDMainClassName_Plastering,-0.03509491826143372,0.02163518735241372
PKDMainClassName_Plumbing,0.010904718300127911,0.009091385501110216
PKDMainClassName_Post-secondary non-tertiary education,0.0005875162167460316,0.0
PKDMainClassName_Pre-press and pre-media services,0.004174859257099501,0.0006894236645319904
PKDMainClassName_Pre-primary education,0.01628573786155474,4.313568580837076e-05
PKDMainClassName_Precious metals production,0.0007332672743872994,0.0
PKDMainClassName_Primary education,0.003330557070929423,0.0
PKDMainClassName_Printing of newspapers,0.001480325700497665,0.00141488135109243
PKDMainClassName_Processing and preserving of fish,-0.0012097360380476454,0.0
PKDMainClassName_Processing and preserving of meat,-0.009221737952409909,0.0
PKDMainClassName_Processing and preserving of potatoes,-0.0023615239030003055,0.0
PKDMainClassName_Processing and preserving of poultry meat,-0.0031857294868477925,0.0
PKDMainClassName_Processing of tea and coffee,-0.0005514576096944171,0.0
PKDMainClassName_Production of abrasive products,0.0020730154401790582,0.0
PKDMainClassName_Production of meat products,-0.004237738381185343,0.0029358699290897724
PKDMainClassName_Produkcja pozostałych wyrobów z gumy,0.007362383341547677,2.0271714121202388e-05
PKDMainClassName_Produkcja statków i konstrukcji pływających,-0.003311033500925522,1.3161506804158412e-05
PKDMainClassName_Produkcja toreb bagażowych,0.0017955152317792448,0.0
PKDMainClassName_Public relations and communication activities,0.009290012370289133,0.00826502330264308
PKDMainClassName_Publishing of computer games,0.007255067384416286,0.0
PKDMainClassName_Publishing of directories and registers ,-0.0026161031400920957,0.0
PKDMainClassName_Publishing of journals and periodicals,0.0010664214671486391,0.006039313581077984
PKDMainClassName_Publishing of newspapers,-0.004460334225489052,0.004729946860636975
PKDMainClassName_Real estate agencies,0.006359671868666412,0.0022553077953402353
PKDMainClassName_Recovery of sorted materials,-0.004674038353375407,0.02000153189184005
PKDMainClassName_Removal services,-0.0024457916375400087,0.00046675400992651794
PKDMainClassName_Rental and leasing of agricultural machinery and equipment,0.011622440644071528,0.00034335213231052213
PKDMainClassName_Rental and leasing of air transport equipment,0.002224367293783425,0.0
